date, time, description, client, location, rate
2015-01-06, 3, basic onboarding, ehealth, co.up,
2015-01-07, 4, more onboarding, ehealth, co.up,
2015-01-08, 7, started designing icons, ehealth, co.up, 
2015-01-09, 8.25, icons and branding design, ehealth, co.up,
2015-01-12, 9, icon design and setting up dev environment, ehealth, co.up,
2015-01-13, 8.25, dev environment and voice conf, ehealth, co.up,
2015-01-14, 9, voice conf and project management and icons, ehealth, co.up,
2015-01-15, 7.5, revisions of icons and bootstrap theme, ehealth, co.up,
2015-01-16, 6, nutserv meeting and coding bootstrap theme, ehealth, co.up,
2015-01-19, 8, contact UX meeting and coding bootstrap theme, ehealth, co.up,
2015-01-20, 8, coding bootstrap theme and made webfonts, ehealth, co.up,
2015-01-21, 5.5, coding bootstrap theme and meeting with Anu, ehealth, co.up,
2015-01-22, 8, coding bootstrap theme and meeting with Justin, ehealth, co.up,
2015-01-23, 5, migrate theme to SASS and icon updates, ehealth, co.up,
